# T0 = 0.400000 P = 16.000000 z = 0.010000 g = 1.941626 alpha = 1.000000 t0 = 0.300000 Process = G_GG
t Rate
0.0 0.0
0.004 7.83358e-05
0.323064 0.00977008
0.642128 0.0161898
0.961191 0.0200012
1.28026 0.0221224
1.59932 0.0231964
1.91838 0.0235319
2.23745 0.0234761
2.55651 0.023167
2.87557 0.0226866
3.19464 0.0221141
3.5137 0.0215796
3.83277 0.0209975
4.15183 0.0204473
4.47089 0.0199362
4.78996 0.0194689
5.10902 0.0190561
5.42809 0.0186528
5.74715 0.0183143
6.06621 0.0180031
6.38528 0.0176982
6.70434 0.0174503
7.0234 0.0172121
7.34247 0.0169987
7.66153 0.0168158
7.9806 0.0166216
8.29966 0.0164624
8.61872 0.0162887
8.93779 0.0161659
9.25685 0.0160153
9.57591 0.0158863
9.89498 0.0157686
10.214 0.0156609
10.5331 0.0155395
10.8522 0.0154262
11.1712 0.0153205
11.4903 0.0152183
11.8094 0.0151368
12.1284 0.0150265
12.4475 0.0149409
12.7666 0.0148364
13.0856 0.0147485
13.4047 0.0146739
13.7237 0.0145852
14.0428 0.0144895
14.3619 0.0144068
14.6809 0.0143062
15 0.0142509
