# T0 = 0.400000 P = 16.000000 z = 0.500000 g = 1.941626 alpha = 0.010000 Process = G_GG
t Rate
0 0 0
0.001 6.15529e-06 -6.15529e-06
0.002 2.19518e-05 -1.57965e-05
0.003 3.65694e-05 -1.46176e-05
0.004 5.16031e-05 -1.50336e-05
0.005 7.36501e-05 -2.20471e-05
0.006 9.74582e-05 -2.38081e-05
0.007 0.000120895 -2.34371e-05
0.008 0.000140737 -1.98414e-05
0.009 0.000163681 -2.2944e-05
0.01 0.000180973 -1.72919e-05
0.011 0.000199931 -1.8958e-05
0.012 0.000218407 -1.84765e-05
0.013 0.000235704 -1.72968e-05
0.014 0.000255699 -1.99954e-05
0.015 0.000275403 -1.97041e-05
0.016 0.000298431 -2.30275e-05
0.017 0.000322846 -2.44147e-05
0.018 0.000350512 -2.76666e-05
0.019 0.000374022 -2.35101e-05
0.02 0.000401603 -2.75811e-05
0.021 0.000423552 -2.19486e-05
0.022 0.000451693 -2.81408e-05
0.023 0.000473494 -2.18012e-05
0.024 0.000494136 -2.06417e-05
0.025 0.000515459 -2.13234e-05
0.026 0.000535064 -1.96053e-05
0.027 0.000561102 -2.6038e-05
0.028 0.000582934 -2.1832e-05
0.029 0.000606255 -2.33209e-05
0.03 0.000627458 -2.12024e-05
0.031 0.000648362 -2.09045e-05
0.032 0.000675838 -2.74762e-05
0.033 0.00070886 -3.30219e-05
0.034 0.000729978 -2.11176e-05
0.035 0.000756958 -2.69806e-05
0.036 0.000783761 -2.68026e-05
0.037 0.000815269 -3.15084e-05
0.038 0.000844437 -2.91675e-05
0.039 0.000867372 -2.29352e-05
0.04 0.000891192 -2.38195e-05
0.041 0.00091326 -2.2068e-05
0.042 0.000932781 -1.95211e-05
0.043 0.000956255 -2.34744e-05
0.044 0.000982298 -2.60424e-05
0.045 0.00100284 -2.05436e-05
0.046 0.00102718 -2.43392e-05
0.047 0.00105299 -2.58076e-05
0.048 0.00108902 -3.60319e-05
0.049 0.00111619 -2.717e-05
0.05 0.00114647 -3.02795e-05
0.051 0.00117347 -2.69976e-05
0.052 0.0012018 -2.833e-05
0.053 0.00123128 -2.94855e-05
0.054 0.00125862 -2.73346e-05
0.055 0.00128624 -2.76255e-05
0.056 0.00131116 -2.49141e-05
0.057 0.00133524 -2.40828e-05
0.058 0.0013595 -2.42593e-05
0.059 0.00139048 -3.09802e-05
0.06 0.00141484 -2.43602e-05
0.061 0.00144216 -2.73249e-05
0.062 0.00146495 -2.27813e-05
0.063 0.00149335 -2.8406e-05
0.064 0.00152618 -3.28307e-05
0.065 0.00155803 -3.18505e-05
0.066 0.00158795 -2.99164e-05
0.067 0.00161719 -2.92374e-05
0.068 0.00164943 -3.22425e-05
0.069 0.00167895 -2.95172e-05
0.07 0.00170466 -2.5712e-05
0.071 0.00172949 -2.48359e-05
0.072 0.00175593 -2.64341e-05
0.073 0.0017803 -2.43759e-05
0.074 0.0018049 -2.45971e-05
0.075 0.00183034 -2.54369e-05
0.076 0.00185608 -2.57462e-05
0.077 0.00188886 -3.27736e-05
0.078 0.00191931 -3.04566e-05
0.079 0.00195264 -3.33287e-05
0.08 0.0019844 -3.17543e-05
0.081 0.00200946 -2.506e-05
0.082 0.00204357 -3.4111e-05
0.083 0.00207325 -2.96782e-05
0.084 0.00210341 -3.01641e-05
0.085 0.00213236 -2.89498e-05
0.086 0.00215989 -2.75291e-05
0.087 0.00218387 -2.39764e-05
0.088 0.00221091 -2.70477e-05
0.089 0.00223522 -2.43052e-05
0.09 0.00226488 -2.96592e-05
0.091 0.00228946 -2.45818e-05
0.092 0.00231169 -2.22287e-05
0.093 0.00234156 -2.9868e-05
0.094 0.00237072 -2.91601e-05
0.095 0.0024075 -3.67809e-05
0.096 0.0024354 -2.79012e-05
0.097 0.0024645 -2.90967e-05
0.098 0.00249431 -2.98181e-05
0.099 0.0025281 -3.37843e-05
0.1 0.0025598 -3.17031e-05
0.101 0.00258564 -2.58373e-05
0.102 0.00260534 -1.97025e-05
0.103 0.00263322 -2.78808e-05
0.104 0.00265889 -2.56637e-05
0.105 0.00268408 -2.51977e-05
0.106 0.00271147 -2.73921e-05
0.107 0.00273979 -2.83152e-05
0.108 0.00277157 -3.17828e-05
0.109 0.00280014 -2.857e-05
0.11 0.00283336 -3.32132e-05
0.111 0.00286396 -3.06017e-05
0.112 0.00289315 -2.9194e-05
0.113 0.00291795 -2.47963e-05
0.114 0.00294944 -3.14937e-05
0.115 0.00297983 -3.03898e-05
0.116 0.00301066 -3.08321e-05
0.117 0.00303393 -2.32649e-05
0.118 0.00306138 -2.7449e-05
0.119 0.00308638 -2.50069e-05
0.12 0.00311115 -2.47617e-05
0.121 0.00313866 -2.75164e-05
0.122 0.00316193 -2.32674e-05
0.123 0.00318782 -2.58919e-05
0.124 0.0032153 -2.74733e-05
0.125 0.00325087 -3.55747e-05
0.126 0.00328451 -3.36397e-05
0.127 0.00331977 -3.52559e-05
0.128 0.0033468 -2.70367e-05
0.129 0.00337839 -3.15901e-05
0.13 0.00340929 -3.08958e-05
0.131 0.00343637 -2.70816e-05
0.132 0.00346165 -2.52784e-05
0.133 0.00348379 -2.21451e-05
0.134 0.00350884 -2.50505e-05
0.135 0.00353694 -2.80971e-05
0.136 0.00356603 -2.9092e-05
0.137 0.00359293 -2.68927e-05
0.138 0.00362125 -2.83291e-05
0.139 0.00364862 -2.73694e-05
0.14 0.00367777 -2.91443e-05
0.141 0.00370781 -3.00453e-05
0.142 0.00373753 -2.97137e-05
0.143 0.00376702 -2.94968e-05
0.144 0.00379257 -2.55455e-05
0.145 0.00382485 -3.22836e-05
0.146 0.0038557 -3.08428e-05
0.147 0.00388296 -2.72604e-05
0.148 0.00391131 -2.83549e-05
0.149 0.00393324 -2.19297e-05
0.15 0.00396062 -2.73834e-05
0.151 0.00398254 -2.19164e-05
0.152 0.00400636 -2.38233e-05
0.153 0.00403371 -2.73424e-05
0.154 0.00406228 -2.85717e-05
0.155 0.00408879 -2.65162e-05
0.156 0.00412205 -3.32594e-05
0.157 0.00415584 -3.37907e-05
0.158 0.00418702 -3.11747e-05
0.159 0.00421635 -2.9326e-05
0.16 0.00424276 -2.64171e-05
0.161 0.00427354 -3.07797e-05
0.162 0.00429739 -2.38445e-05
0.163 0.00432119 -2.38066e-05
0.164 0.00433868 -1.74853e-05
0.165 0.00436553 -2.68527e-05
0.166 0.00439201 -2.64803e-05
0.167 0.00441704 -2.50254e-05
0.168 0.00444134 -2.43064e-05
0.169 0.00446661 -2.52654e-05
0.17 0.00449663 -3.00189e-05
0.171 0.00452894 -3.23123e-05
0.172 0.00455674 -2.78049e-05
0.173 0.00458419 -2.74476e-05
0.174 0.00461398 -2.97898e-05
0.175 0.00464045 -2.64636e-05
0.176 0.00467167 -3.12218e-05
0.177 0.00469919 -2.75214e-05
0.178 0.0047265 -2.73077e-05
0.179 0.00474583 -1.93371e-05
0.18 0.00476793 -2.21007e-05
0.181 0.00479223 -2.43001e-05
0.182 0.00482058 -2.83417e-05
0.183 0.00484674 -2.61657e-05
0.184 0.00487409 -2.73525e-05
0.185 0.00489958 -2.54863e-05
0.186 0.00492799 -2.84097e-05
0.187 0.00495937 -3.13809e-05
0.188 0.00499077 -3.14009e-05
0.189 0.00502197 -3.11942e-05
0.19 0.0050425 -2.05362e-05
0.191 0.00506885 -2.63499e-05
0.192 0.00509728 -2.84227e-05
0.193 0.00512674 -2.94606e-05
0.194 0.00514691 -2.01714e-05
0.195 0.00517138 -2.44689e-05
0.196 0.00519723 -2.58519e-05
0.197 0.00522645 -2.92183e-05
0.198 0.00525361 -2.71601e-05
0.199 0.00527765 -2.40481e-05
0.2 0.00530747 -2.98156e-05
0.201 0.00533421 -2.67438e-05
0.202 0.00536267 -2.84595e-05
0.203 0.00539174 -2.90668e-05
0.204 0.00542405 -3.23057e-05
0.205 0.00545358 -2.95308e-05
0.206 0.00548256 -2.89859e-05
0.207 0.00551205 -2.9491e-05
0.208 0.00554112 -2.90681e-05
0.209 0.00556755 -2.64313e-05
0.21 0.0055897 -2.21425e-05
0.211 0.00561211 -2.24171e-05
0.212 0.00563746 -2.53503e-05
0.213 0.00566454 -2.708e-05
0.214 0.0056901 -2.5556e-05
0.215 0.00571703 -2.69316e-05
0.216 0.00574723 -3.01982e-05
0.217 0.00577499 -2.7757e-05
0.218 0.00580665 -3.16677e-05
0.219 0.00583408 -2.74246e-05
0.22 0.00586371 -2.96279e-05
0.221 0.00588966 -2.59561e-05
0.222 0.00591669 -2.70315e-05
0.223 0.0059476 -3.09019e-05
0.224 0.00597393 -2.63351e-05
0.225 0.00600001 -2.60759e-05
0.226 0.00602183 -2.18269e-05
0.227 0.00604965 -2.78142e-05
0.228 0.00607652 -2.68775e-05
0.229 0.0061014 -2.4872e-05
0.23 0.0061226 -2.12029e-05
0.231 0.00615123 -2.86334e-05
0.232 0.00617639 -2.5158e-05
0.233 0.0062091 -3.27045e-05
0.234 0.00623842 -2.93243e-05
0.235 0.00626403 -2.56121e-05
0.236 0.00629257 -2.8539e-05
0.237 0.00631624 -2.36721e-05
0.238 0.00634513 -2.88866e-05
0.239 0.00637035 -2.52215e-05
0.24 0.00639205 -2.17006e-05
0.241 0.00641107 -1.90199e-05
0.242 0.00643465 -2.35801e-05
0.243 0.00645683 -2.21731e-05
0.244 0.00648322 -2.63954e-05
0.245 0.00650601 -2.27893e-05
0.246 0.00653244 -2.64333e-05
0.247 0.00655667 -2.42281e-05
0.248 0.00658444 -2.7764e-05
0.249 0.00661071 -2.62705e-05
0.25 0.0066376 -2.68896e-05
0.251 0.00666419 -2.65947e-05
0.252 0.00668677 -2.25826e-05
0.253 0.00671179 -2.50212e-05
0.254 0.00673654 -2.47466e-05
0.255 0.00676184 -2.52953e-05
0.256 0.00677893 -1.70969e-05
0.257 0.00679928 -2.03426e-05
0.258 0.0068192 -1.99264e-05
0.259 0.00684791 -2.87135e-05
0.26 0.00686889 -2.09794e-05
0.261 0.00688844 -1.95495e-05
0.262 0.00690818 -1.97408e-05
0.263 0.00693676 -2.858e-05
0.264 0.00696486 -2.80948e-05
0.265 0.00698897 -2.41107e-05
0.266 0.00701478 -2.58113e-05
0.267 0.00703504 -2.02574e-05
0.268 0.00705951 -2.44706e-05
0.269 0.00707955 -2.00358e-05
0.27 0.00710274 -2.31938e-05
0.271 0.00712265 -1.99065e-05
0.272 0.00714184 -1.91927e-05
0.273 0.00715939 -1.75509e-05
0.274 0.00718233 -2.29364e-05
0.275 0.00720806 -2.57305e-05
0.276 0.00723176 -2.37076e-05
0.277 0.00725523 -2.34662e-05
0.278 0.00727905 -2.38212e-05
0.279 0.0073029 -2.38468e-05
0.28 0.00733023 -2.73326e-05
0.281 0.0073577 -2.74685e-05
0.282 0.00738035 -2.26481e-05
0.283 0.00740213 -2.17793e-05
0.284 0.00742345 -2.13221e-05
0.285 0.00744444 -2.09936e-05
0.286 0.00746795 -2.35099e-05
0.287 0.00748319 -1.52391e-05
0.288 0.00750036 -1.71712e-05
0.289 0.00752213 -2.17709e-05
0.29 0.00754281 -2.06795e-05
0.291 0.00756649 -2.36789e-05
0.292 0.00758547 -1.89814e-05
0.293 0.00761243 -2.69553e-05
0.294 0.00763893 -2.65004e-05
0.295 0.00766812 -2.91955e-05
0.296 0.00769298 -2.4856e-05
0.297 0.00771872 -2.5745e-05
0.298 0.00774171 -2.29857e-05
0.299 0.00776482 -2.31118e-05
0.3 0.00778365 -1.8824e-05
0.301 0.00780419 -2.05462e-05
0.302 0.00782484 -2.0648e-05
0.303 0.00784138 -1.65392e-05
0.304 0.00786438 -2.30049e-05
0.305 0.00788424 -1.98569e-05
0.306 0.00790926 -2.50142e-05
0.307 0.00792866 -1.94045e-05
0.308 0.00795051 -2.18512e-05
0.309 0.00797351 -2.30029e-05
0.31 0.00800101 -2.74915e-05
0.311 0.0080247 -2.36969e-05
0.312 0.00804792 -2.32151e-05
0.313 0.00807073 -2.2808e-05
0.314 0.00809565 -2.49194e-05
0.315 0.00811836 -2.27176e-05
0.316 0.00814143 -2.30721e-05
0.317 0.0081602 -1.87668e-05
0.318 0.00817378 -1.35829e-05
0.319 0.00819144 -1.76517e-05
0.32 0.00820868 -1.72475e-05
0.321 0.00823362 -2.49382e-05
0.322 0.00825449 -2.08668e-05
0.323 0.0082748 -2.03161e-05
0.324 0.00829402 -1.92151e-05
0.325 0.00832267 -2.86467e-05
0.326 0.00834874 -2.60779e-05
0.327 0.00837581 -2.70698e-05
0.328 0.00839516 -1.9347e-05
0.329 0.00841426 -1.90998e-05
0.33 0.00843593 -2.16683e-05
0.331 0.00845511 -1.91818e-05
0.332 0.00847423 -1.91175e-05
0.333 0.00848947 -1.5243e-05
0.334 0.00850851 -1.9043e-05
0.335 0.00852431 -1.57982e-05
0.336 0.00854582 -2.15093e-05
0.337 0.00856589 -2.00696e-05
0.338 0.00858881 -2.29172e-05
0.339 0.00860672 -1.79079e-05
0.34 0.008629 -2.22846e-05
0.341 0.00865244 -2.34427e-05
0.342 0.00867386 -2.14134e-05
0.343 0.00869705 -2.31971e-05
0.344 0.00871516 -1.81065e-05
0.345 0.00873585 -2.06919e-05
0.346 0.00875483 -1.8978e-05
0.347 0.00877149 -1.6662e-05
0.348 0.00879113 -1.96349e-05
0.349 0.00880726 -1.61347e-05
0.35 0.00881958 -1.23145e-05
0.351 0.00883869 -1.91141e-05
0.352 0.00886144 -2.27486e-05
0.353 0.00888206 -2.06186e-05
0.354 0.00890079 -1.8727e-05
0.355 0.00892012 -1.93325e-05
0.356 0.00894708 -2.69575e-05
0.357 0.00897233 -2.52507e-05
0.358 0.00899029 -1.79649e-05
0.359 0.00900866 -1.83721e-05
0.36 0.00902517 -1.65096e-05
0.361 0.00904647 -2.12971e-05
0.362 0.00905943 -1.29564e-05
0.363 0.0090771 -1.76702e-05
0.364 0.00909395 -1.68553e-05
0.365 0.00910881 -1.48559e-05
0.366 0.00912693 -1.81261e-05
0.367 0.00914237 -1.54344e-05
0.368 0.00916104 -1.86695e-05
0.369 0.00918021 -1.91768e-05
0.37 0.00919776 -1.7549e-05
0.371 0.00921685 -1.90849e-05
0.372 0.00924244 -2.55933e-05
0.373 0.00926248 -2.00378e-05
0.374 0.00928568 -2.31999e-05
0.375 0.00930224 -1.65608e-05
0.376 0.00932169 -1.9449e-05
0.377 0.00934057 -1.88823e-05
0.378 0.00935571 -1.51339e-05
0.379 0.00937068 -1.49729e-05
0.38 0.00938237 -1.16875e-05
0.381 0.00939534 -1.29722e-05
0.382 0.00941188 -1.65422e-05
0.383 0.00943047 -1.85934e-05
0.384 0.00944894 -1.84666e-05
0.385 0.00946581 -1.68699e-05
0.386 0.00948197 -1.61564e-05
0.387 0.00950766 -2.56983e-05
0.388 0.00952597 -1.83058e-05
0.389 0.00954223 -1.62544e-05
0.39 0.00955639 -1.41638e-05
0.391 0.00957285 -1.6462e-05
0.392 0.00958861 -1.57589e-05
0.393 0.00960498 -1.63732e-05
0.394 0.00961689 -1.19067e-05
0.395 0.00963101 -1.41217e-05
0.396 0.0096444 -1.33913e-05
0.397 0.00965628 -1.18752e-05
0.398 0.00967574 -1.94635e-05
0.399 0.00969001 -1.42705e-05
0.4 0.00970564 -1.56329e-05
0.401 0.0097205 -1.48513e-05
0.402 0.00974167 -2.11717e-05
0.403 0.00976257 -2.08986e-05
0.404 0.00978471 -2.21416e-05
0.405 0.00979824 -1.35301e-05
0.406 0.00981239 -1.41501e-05
0.407 0.0098254 -1.30102e-05
0.408 0.00983887 -1.34716e-05
0.409 0.00985214 -1.32691e-05
0.41 0.00985868 -6.53637e-06
0.411 0.00987033 -1.16586e-05
0.412 0.00987859 -8.25704e-06
0.413 0.00989361 -1.50214e-05
0.414 0.00991156 -1.7943e-05
0.415 0.00992826 -1.67011e-05
0.416 0.00994361 -1.53551e-05
0.417 0.00995638 -1.27705e-05
0.418 0.00997413 -1.77494e-05
0.419 0.00999727 -2.3137e-05
0.42 0.010013 -1.57039e-05
0.421 0.0100238 -1.08378e-05
0.422 0.0100371 -1.3326e-05
0.423 0.0100515 -1.43168e-05
0.424 0.0100654 -1.39364e-05
0.425 0.0100762 -1.08508e-05
0.426 0.0100879 -1.16616e-05
0.427 0.010102 -1.40829e-05
0.428 0.0101109 -8.96232e-06
0.429 0.0101266 -1.56625e-05
0.43 0.0101401 -1.35092e-05
0.431 0.0101566 -1.64961e-05
0.432 0.0101745 -1.79014e-05
0.433 0.0101892 -1.47253e-05
0.434 0.0102107 -2.14991e-05
0.435 0.0102249 -1.41748e-05
0.436 0.0102395 -1.45484e-05
0.437 0.0102544 -1.49646e-05
0.438 0.0102668 -1.23473e-05
0.439 0.0102756 -8.8095e-06
0.44 0.0102891 -1.35473e-05
0.441 0.010297 -7.8649e-06
0.442 0.0103093 -1.22925e-05
0.443 0.0103214 -1.21187e-05
0.444 0.010336 -1.45743e-05
0.445 0.0103556 -1.96192e-05
0.446 0.0103705 -1.49385e-05
0.447 0.0103864 -1.58553e-05
0.448 0.0104028 -1.63682e-05
0.449 0.0104238 -2.09888e-05
0.45 0.0104422 -1.84496e-05
0.451 0.0104566 -1.44187e-05
0.452 0.0104662 -9.55952e-06
0.453 0.0104827 -1.65603e-05
0.454 0.0104972 -1.44669e-05
0.455 0.0105113 -1.40578e-05
0.456 0.0105176 -6.30564e-06
0.457 0.0105265 -8.93178e-06
0.458 0.0105398 -1.32581e-05
0.459 0.0105521 -1.23587e-05
0.46 0.0105646 -1.24892e-05
0.461 0.0105821 -1.75384e-05
0.462 0.0105975 -1.53148e-05
0.463 0.0106123 -1.48164e-05
0.464 0.0106317 -1.94538e-05
0.465 0.0106469 -1.51859e-05
0.466 0.010666 -1.91102e-05
0.467 0.0106744 -8.35544e-06
0.468 0.0106857 -1.1346e-05
0.469 0.0106966 -1.0861e-05
0.47 0.0107103 -1.37372e-05
0.471 0.0107206 -1.02963e-05
0.472 0.0107312 -1.06055e-05
0.473 0.0107395 -8.22506e-06
0.474 0.0107499 -1.0481e-05
0.475 0.0107652 -1.52653e-05
0.476 0.0107803 -1.51216e-05
0.477 0.0107938 -1.35158e-05
0.478 0.0108034 -9.61097e-06
0.479 0.0108211 -1.76658e-05
0.48 0.0108338 -1.2697e-05
0.481 0.0108516 -1.77958e-05
0.482 0.010864 -1.23468e-05
0.483 0.0108723 -8.32173e-06
0.484 0.0108833 -1.1037e-05
0.485 0.0108914 -8.09145e-06
0.486 0.0109007 -9.29625e-06
0.487 0.0109076 -6.8546e-06
0.488 0.0109101 -2.53561e-06
0.489 0.01092 -9.87092e-06
0.49 0.0109316 -1.161e-05
0.491 0.0109426 -1.102e-05
0.492 0.0109552 -1.25813e-05
0.493 0.0109681 -1.29737e-05
0.494 0.010982 -1.3875e-05
0.495 0.0109959 -1.3878e-05
0.496 0.0110088 -1.29008e-05
0.497 0.011023 -1.423e-05
0.498 0.0110284 -5.41862e-06
0.499 0.0110335 -5.07693e-06
0.5 0.0110443 -1.07949e-05
0.501 0.0110511 -6.7699e-06
0.502 0.0110613 -1.01704e-05
0.503 0.0110636 -2.34341e-06
0.504 0.0110714 -7.75435e-06
0.505 0.0110785 -7.15061e-06
0.506 0.0110874 -8.9378e-06
0.507 0.0110985 -1.10381e-05
0.508 0.0111123 -1.3811e-05
0.509 0.0111211 -8.76232e-06
0.51 0.0111307 -9.61929e-06
0.511 0.0111444 -1.37475e-05
0.512 0.0111566 -1.21781e-05
0.513 0.0111676 -1.10394e-05
0.514 0.0111719 -4.26209e-06
0.515 0.0111797 -7.78782e-06
0.516 0.0111864 -6.67021e-06
0.517 0.0111955 -9.18319e-06
0.518 0.011198 -2.41042e-06
0.519 0.0112039 -5.92703e-06
0.52 0.0112124 -8.54414e-06
0.521 0.0112249 -1.25081e-05
0.522 0.0112335 -8.5407e-06
0.523 0.0112427 -9.18113e-06
0.524 0.011254 -1.1338e-05
0.525 0.011268 -1.40493e-05
0.526 0.0112804 -1.23243e-05
0.527 0.0112887 -8.34818e-06
0.528 0.0112984 -9.64579e-06
0.529 0.0113058 -7.42732e-06
0.53 0.0113122 -6.37647e-06
0.531 0.0113187 -6.55767e-06
0.532 0.0113298 -1.10632e-05
0.533 0.0113322 -2.44441e-06
0.534 0.0113387 -6.44442e-06
0.535 0.0113416 -2.89586e-06
0.536 0.0113526 -1.10716e-05
0.537 0.0113619 -9.29772e-06
0.538 0.0113724 -1.04504e-05
0.539 0.0113836 -1.12148e-05
0.54 0.0113916 -8.00573e-06
0.541 0.0114043 -1.26654e-05
0.542 0.0114184 -1.41279e-05
0.543 0.0114328 -1.44e-05
0.544 0.011439 -6.16612e-06
0.545 0.0114435 -4.48482e-06
0.546 0.0114485 -5.01962e-06
0.547 0.0114621 -1.35903e-05
0.548 0.0114639 -1.88188e-06
0.549 0.0114683 -4.38329e-06
0.55 0.0114732 -4.85546e-06
0.551 0.0114793 -6.06554e-06
0.552 0.0114938 -1.45878e-05
0.553 0.0115029 -9.0115e-06
0.554 0.0115121 -9.20245e-06
0.555 0.0115219 -9.80427e-06
0.556 0.0115298 -7.90492e-06
0.557 0.0115402 -1.04365e-05
0.558 0.0115507 -1.05279e-05
0.559 0.011559 -8.29488e-06
0.56 0.0115672 -8.13388e-06
0.561 0.0115697 -2.55753e-06
0.562 0.0115734 -3.6719e-06
0.563 0.0115815 -8.12887e-06
0.564 0.0115886 -7.08055e-06
0.565 0.0115922 -3.63022e-06
0.566 0.011595 -2.72432e-06
0.567 0.0116032 -8.24583e-06
0.568 0.0116155 -1.23322e-05
0.569 0.0116225 -6.94344e-06
0.57 0.0116361 -1.36195e-05
0.571 0.0116463 -1.01891e-05
0.572 0.0116567 -1.03812e-05
0.573 0.0116655 -8.83542e-06
0.574 0.0116735 -8.03446e-06
0.575 0.0116809 -7.3761e-06
0.576 0.0116838 -2.88753e-06
