# T0 = 0.400000 P = 16.000000 z = 0.010000 g = 1.941626 alpha = 1.000000 t0 = 0.300000 Process = G_GG
t Rate
0.0 0.0
0.004 7.83334e-05
0.323064 0.00976869
0.642128 0.01634
0.961191 0.0204738
1.28026 0.0230301
1.59932 0.0245848
1.91838 0.0253686
2.23745 0.0257408
2.55651 0.0257786
2.87557 0.025559
3.19464 0.0251069
3.5137 0.0247404
3.83277 0.0241775
4.15183 0.023563
4.47089 0.023003
4.78996 0.0224512
5.10902 0.0219083
5.42809 0.0213279
5.74715 0.0207877
6.06621 0.0203939
6.38528 0.0197787
6.70434 0.0194553
7.0234 0.0189683
7.34247 0.0185289
7.66153 0.0182722
7.9806 0.0179177
8.29966 0.0175241
8.61872 0.0171994
8.93779 0.0169889
9.25685 0.0167186
9.57591 0.0164948
9.89498 0.0162837
10.214 0.0161052
10.5331 0.0159083
10.8522 0.0157273
11.1712 0.015533
11.4903 0.0153789
11.8094 0.0152134
12.1284 0.0150689
12.4475 0.0149438
12.7666 0.0148793
13.0856 0.0147904
13.4047 0.0147601
13.7237 0.0145854
14.0428 0.0144623
14.3619 0.0144303
14.6809 0.0143645
15 0.0143288
